Ticker,Weight(Theory),Weight(Practical),Capital(Theory),Capital(Practical),Price,Lots
1015.KL,0.002,0.0019512488851414413,10000.0,9750.0,6.5,15.0
2089.KL,0.280528,0.280609714085438,1402640.0,1402150.56,29.27245422981168,479.0
3301.KL,0.065107,0.06505738593884275,325535.0,325078.73,16.33561466063239,199.0
3565.KL,0.0,0.0,0.0,0.0,0.6700000166893005,0.0
4286.KL,0.0011,0.0010951009562840126,5500.0,5472.0,0.7200000286102295,76.0
5041.KL,0.011901,0.011889209587124873,59505.0,59408.0,1.8799999952316284,316.0
5053.KL,0.057406,0.05741274753955523,287030.0,286880.0,1.600000023841858,1793.0
5056.KL,0.0,0.0,0.0,0.0,0.5584174394607544,0.0
5151.KL,0.015002,0.01499639788069975,75010.0,74934.0,0.9049999713897704,828.0
5211.KL,0.051805,0.051764104940776656,259024.99999999997,258654.87,5.598590220345665,462.0
5247.KL,0.0,0.0,0.0,0.0,0.7049999833106995,0.0
5249.KL,0.005301,0.005263369016640722,26505.0,26300.0,2.630000114440918,100.0
5271.KL,0.041604,0.04162018740673851,208020.0,207967.74,1.663741946220398,1250.0
5273.KL,0.051905,0.05189821655560741,259525.0,259325.0,2.5299999713897705,1025.0
5878.KL,0.040304,0.04032555622405787,201520.0,201498.73,2.67950439453125,752.0
6432.KL,0.018902,0.018912105151634263,94510.0,94500.0,6.300000190734863,150.0
6459.KL,0.0,0.0,0.0,0.0,2.039999961853028,0.0
7004.KL,0.0028,0.0027864191389428716,14000.0,13923.18,1.450331097964326,96.0
7035.KL,0.0023,0.002281460325591693,11500.0,11400.0,1.2000000476837158,95.0
7103.KL,0.150615,0.15068444898044175,753075.0,752940.02,2.6700000762939453,2820.0
7161.KL,0.032403,0.032383740856713535,162015.0,161815.07,2.6226105216921103,617.0
7187.KL,0.028603,0.028612767835684397,143015.0,142972.27,1.1786667108535769,1213.0
7197.KL,0.036304,0.036311241332880995,181520.00000000003,181440.0,1.600000023841858,1134.0
7230.KL,0.023902,0.023904900007003432,119510.0,119448.0,1.8899999856948853,632.0
7246.KL,0.0,0.0,0.0,0.0,1.3923749923706057,0.0
7252.KL,0.017402,0.01741126565074666,87010.0,87000.61,0.9753431431970008,892.0
7501.KL,0.0012,0.0011985671306460933,5999.999999999999,5989.0,0.5649999976158142,106.0
7609.KL,0.0,0.0,0.0,0.0,1.0299999713897705,0.0
8117.KL,0.060906,0.06094140381859096,304530.0,304511.99,1.919999957084656,1586.0
9407.KL,0.0007,0.0006884406437474785,3500.0,3440.0,3.440000057220459,10.0
