,Mu_Daily,Mu_Annual,Sigma_Daily,Sigma_Annual
6432.KL,0.000569158182497594,0.1434278619893937,0.014772194059105672,0.23450131079507636
3301.KL,0.000611800146407337,0.1541736368946489,0.01121799359153855,0.17808012751396377
5271.KL,0.0006973517539838451,0.17573264200392896,0.015878209058163565,0.25205875459796345
2089.KL,0.00119713733788244,0.30167860914637484,0.011789024399264136,0.18714496056315322
5151.KL,0.0005746877537660788,0.14482131394905184,0.018010617700134793,0.28590969235928854
7230.KL,0.0007369072797351273,0.18570063449325208,0.022053932734963165,0.35009532868595455
1015.KL,0.0007253340349997408,0.1827841768199347,0.013052286818393549,0.20719862977293485
8117.KL,0.0011088483124402037,0.2794297747349313,0.02384749223426211,0.37856720306640973
5053.KL,0.0010386190873727926,0.2617320100179437,0.013947558844057672,0.22141063258689667
5041.KL,0.0008799594246834805,0.22174977502023707,0.0258436841801802,0.4102557678147059
7161.KL,0.0007894697749944254,0.1989463832985952,0.016345713390006913,0.25948015579138095
6459.KL,0.0006154960155326415,0.15510499591422564,0.020421254992309488,0.3241773730169229
7103.KL,0.001370269664232648,0.3453079553866273,0.01664457979149086,0.2642245128327368
7501.KL,0.0007423270622248384,0.1870664196806593,0.028556917308972526,0.453327008461063
5056.KL,0.0005664720140790732,0.14275094754792644,0.023271653109125618,0.36942604034465676
5247.KL,0.000554801052368251,0.13980986519679925,0.023457911483494315,0.3723828003737532
4286.KL,0.0008960785438627495,0.22581179305341287,0.030693404271396003,0.4872426875524889
9407.KL,0.0008872166382260305,0.2235785928329597,0.026243484412655164,0.4166023997501133
5249.KL,0.0009243810229275318,0.23294401777773802,0.01825593741470658,0.2898040220980383
5878.KL,0.0009531958656528982,0.24020535814453034,0.017100942147627408,0.2714690406451496
7035.KL,0.000789261769578909,0.1988939659338851,0.019735186775858515,0.31328637771799345
7187.KL,0.0010010564153390405,0.2522662166654382,0.022243049963230607,0.35309747161375543
7609.KL,0.0006084056525818553,0.15331822445062754,0.020488195975219645,0.3252400281767139
7252.KL,0.0009662332416828638,0.24349077690408166,0.022463559858106153,0.3565979576745736
7246.KL,0.0007464198065617524,0.1880977912535616,0.023225591513382087,0.36869483518068774
5211.KL,0.0012298905637146411,0.30993242205608956,0.016708888003157667,0.2652453740447148
7004.KL,0.0008471085452777381,0.21347135340999,0.02642287067685077,0.41945006841220833
5273.KL,0.0013561642146014674,0.3417533820795698,0.024511468645305165,0.38910750182660847
7197.KL,0.0013718872107964996,0.34571557712071793,0.028353344602863467,0.4500953919365529
3565.KL,0.0007563528800945647,0.1906009257838303,0.023300659738509356,0.3698865063109863
