Ticker,Optimized_Weights
6432.KL,0.018902
3301.KL,0.065107
5271.KL,0.041604
2089.KL,0.280528
5151.KL,0.015002
7230.KL,0.023902
1015.KL,0.002
8117.KL,0.060906
5053.KL,0.057406
5041.KL,0.011901
7161.KL,0.032403
6459.KL,0.0
7103.KL,0.150615
7501.KL,0.0012
5056.KL,0.0
5247.KL,0.0
4286.KL,0.0011
9407.KL,0.0007
5249.KL,0.005301
5878.KL,0.040304
7035.KL,0.0023
7187.KL,0.028603
7609.KL,0.0
7252.KL,0.017402
7246.KL,0.0
5211.KL,0.051805
7004.KL,0.0028
5273.KL,0.051905
7197.KL,0.036304
3565.KL,0.0
