Company,Ticker,Industry,Avg_SD,Avg_R2,Stability_Score
IGB BERHAD,5606,Real Estate Services,0.01302500589,0.7715308199,3.368175547
OSK HOLDINGS BERHAD,5053,Real Estate - Development,0.01350162738,0.7633187323,3.28968928
UNITED PLANTATIONS BERHAD,2089,Farm Products,0.01122987413,0.7528905486,3.270712635
GAMUDA BERHAD,5398,Engineering & Construction,0.01762962866,0.7608047785,3.153978437
ASTRO MALAYSIA HOLDINGS BERHAD,6399,Entertainment,0.02719407306,0.7929238773,3.14042089
BERMAZ AUTO BERHAD,5248,Auto & Truck Dealerships,0.01832731086,0.7422967828,2.987649609
SPRITZER BHD,7103,Beverages - Non-Alcoholic,0.01582637403,0.7301032991,2.961102624
PERUSAHAAN SADUR TIMAH MALAYSIA (PERSTIMA) BHD,5436,Packaging & Containers,0.01572290387,0.7134508176,2.83195686
ALLIANZ MALAYSIA BERHAD,1163,Insurance - Diversified,0.009221544447,0.6779775436,2.733008152
MBM RESOURCES BHD,5983,Auto & Truck Dealerships,0.0134186169,0.6890632173,2.703199894
YB VENTURES BERHAD,5048,Building Materials,0.03636918549,0.7665995562,2.67434902
LII HEN INDUSTRIES BHD.,7089,"Furnishings, Fixtures & Appliances",0.0142120897,0.6864432925,2.660170733
KPJ HEALTHCARE BERHAD,5878,Medical Care Facilities,0.0171184162,0.6950255875,2.64671261
LPI CAPITAL BHD,8621,Insurance - Property & Casualty,0.006908612376,0.6429877208,2.520422123
MASTER-PACK GROUP BERHAD,7029,Packaging & Containers,0.01852041503,0.680691685,2.493729082
ECO WORLD DEVELOPMENT GROUP BERHAD,8206,Real Estate - Development,0.02285259141,0.6955993292,2.490438373
ASIA FILE CORPORATION BHD,7129,Business Equipment & Supplies,0.01285352021,0.6479564651,2.393088239
JCBNEXT BERHAD,58,Asset Management,0.01286515207,0.6466855175,2.382683882
REVENUE GROUP BERHAD,200,Software - Infrastructure,0.03995973729,0.7418916418,2.377722243
MUDA HOLDINGS BERHAD,3883,Paper & Paper Products,0.01892933657,0.6660982341,2.36653982
REDTONE DIGITAL BERHAD,32,Telecom Services,0.02314509396,0.6808595975,2.365354311
PANASONIC MANUFACTURING MALAYSIA BERHAD,3719,"Furnishings, Fixtures & Appliances",0.009924703998,0.632336549,2.351371506
ORIENTAL INTEREST BERHAD,5827,Real Estate - Development,0.01678568065,0.6552905068,2.340960853
JAYCORP BERHAD,7152,"Furnishings, Fixtures & Appliances",0.01143841806,0.6316935183,2.303818076
CCK CONSOLIDATED HOLDINGS BERHAD,7035,Grocery Stores,0.02005136893,0.6616482275,2.299783858
MARCO HOLDINGS BERHAD,3514,Electronics & Computer Distribution,0.02261943815,0.6688733567,2.285050881
SAMCHEM HOLDINGS BERHAD,5147,Chemicals,0.01833230822,0.6534216537,2.282764016
MAGNUM BERHAD,3859,Gambling,0.01375796725,0.6370518626,2.281252342
CHIN WELL HOLDINGS BERHAD,5007,Tools & Accessories,0.01703599326,0.6480157582,2.276254505
EONMETALL GROUP BERHAD,7217,Steel,0.0269858039,0.6822673851,2.268798891
