,Beta_Stability
2755.KL,0.0635176338637844
0099.KL,0.07690327388430201
5606.KL,0.08135531314825005
1295.KL,0.0861852815907204
5347.KL,0.08726477528080881
3689.KL,0.08802334329844928
5228.KL,0.09002684632702489
5138.KL,0.09157726903444814
2453.KL,0.09255873794025274
2305.KL,0.09465537700099733
5008.KL,0.09482486875577902
1082.KL,0.09862780725265308
6491.KL,0.10071476020992014
9121.KL,0.10341935853284441
3255.KL,0.10612901560007663
1155.KL,0.10663043501731924
6521.KL,0.10674982921687946
5983.KL,0.11094465114784723
5225.KL,0.11421435769739434
1066.KL,0.11485701615854378
4006.KL,0.11582147640729712
5069.KL,0.11723967804521179
5819.KL,0.11771654256764827
0002.KL,0.11794027965804424
2593.KL,0.11914579797792846
7100.KL,0.11946067795338698
8621.KL,0.12305511411047015
6351.KL,0.12479645235259292
1818.KL,0.12643453227916096
4863.KL,0.13035013886854804
