,6432.KL,3301.KL,5271.KL,2089.KL,5151.KL,7230.KL,1015.KL,8117.KL,5053.KL,5041.KL,7161.KL,6459.KL,7103.KL,7501.KL,5056.KL,5247.KL,4286.KL,9407.KL,5249.KL,5878.KL,7035.KL,7187.KL,7609.KL,7252.KL,7246.KL,5211.KL,7004.KL,5273.KL,7197.KL,3565.KL
6432.KL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3301.KL,0.0631167965527552,0.9980061472721088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5271.KL,0.09018234548348043,0.11402677867426712,0.9893760853731345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2089.KL,0.06004722200902713,0.04187272007103913,0.05124958987829389,0.9959992399495884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5151.KL,0.06453545444646006,0.025409948494689673,-0.0016226414695802544,0.018921979019240733,0.9974110664021844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7230.KL,-0.004023278367241689,0.0014607936871668824,0.024400081630661843,0.08979232942056102,-0.05222612086374806,0.9942816930860967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1015.KL,0.1327199764323938,0.1860472373075829,0.03393439334007345,0.06695148845419825,0.0865047154310845,0.03585056432191609,0.9661104800872395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8117.KL,0.0354411051073732,0.03694719074155398,0.01281900680995053,0.02853317472092951,0.022211962686223687,0.015240354237677278,0.04674528905763379,0.9967394857419268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5053.KL,0.11798776032033084,0.1449764627315543,0.0755051175368599,0.0869598225087847,0.1094648471716892,0.059407280465396006,0.2603340941539154,0.0040550161432343,0.9319311233615641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5041.KL,0.11183609579475791,0.15089499730720568,-0.028533513074771633,0.027226081899789267,0.04242992920729415,0.006543978876395731,0.028248579860080923,0.027416250986697192,0.10752924782110752,0.9737621227947415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7161.KL,0.032857501495938336,0.13654828135060457,0.039527244492943335,0.04528897181386284,0.02458953725940678,0.01490700228003863,0.12881449840692163,-0.026266547744824387,0.10310994931022835,0.03500187646844626,0.9729823707742817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6459.KL,0.04065166145831657,0.11400312099395765,0.10146909495783032,0.06230342372193413,0.05603494489773462,0.07287577317903575,0.09476122726217252,0.01492085708702037,0.10617921767879547,0.030851396628480285,0.09287012342336919,0.9657480140726254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
