,6432.KL,3301.KL,5271.KL,2089.KL,5151.KL,7230.KL,1015.KL,8117.KL,5053.KL,5041.KL,7161.KL,6459.KL,7103.KL,7501.KL,5056.KL,5247.KL,4286.KL,9407.KL,5249.KL,5878.KL,7035.KL,7187.KL,7609.KL,7252.KL,7246.KL,5211.KL,7004.KL,5273.KL,7197.KL,3565.KL
6432.KL,1.0,0.0631167965527552,0.09018234548348043,0.06004722200902713,0.06453545444646006,-0.004023278367241689,0.1327199764323938,0.0354411051073732,0.11798776032033084,0.11183609579475791,0.032857501495938336,0.04065166145831657,0.06279697030179193,0.03673791244704497,0.08108009418556379,-0.014259865153180002,0.06111234034478114,0.13208638704649958,0.11687333655925669,0.07828043503488105,0.09028447138676339,0.05250626741885512,0.09132780866840842,0.1359614927009827,0.06391532292640395,0.13246352803703945,0.032621068053982336,0.027826111253195722,0.04450646384221312,0.10628837298060329
3301.KL,0.0631167965527552,1.0,0.11949144682308589,0.04557922032900315,0.02943255594830478,0.0012039446375085433,0.1940531462669304,0.03911045250517291,0.15213441047971052,0.15765287101073172,0.13834988442449578,0.11634161820597178,0.07455714030243812,0.07743476242520472,0.09473472761749151,0.11631304025579006,0.07307038555953482,0.12772221104148018,0.1306854388416969,0.12436894097664826,0.08300687833393834,0.10080779102151063,0.11909472461629568,0.06902091120475731,0.06422376380112607,0.14197533094910297,0.043829728722768455,0.03833950788574532,0.04770764586607991,0.12335144913702105
5271.KL,0.09018234548348043,0.11949144682308589,1.0,0.06089492931533628,0.007111970556815159,0.023944598165293686,0.06675724316093017,0.020091949902432987,0.1018745696071561,-0.0009386635783713656,0.0576406376295627,0.11705656677959812,0.06190249541618781,0.0408446084824479,0.0221336078876405,0.019000883871308542,0.05641465609254143,0.023875530766829425,0.08398578561376219,0.07146779312644415,0.09895217141581417,0.08406493165607143,0.10115306576842661,0.03840048300979595,0.06391576597449151,0.0733277425136702,0.07152681113274434,0.06546443977981728,0.008317314961696394,0.06338147040317267
2089.KL,0.06004722200902713,0.04557922032900315,0.06089492931533628,1.0,0.023702275432608038,0.09050316674857255,0.08418252513296198,0.03275120845901171,0.10363691951152772,0.038688656891301854,0.05482418622215203,0.07446905228844215,0.0018854616312354174,0.07462569004237539,0.02059646953447926,0.008843195171051968,0.051494193823460384,0.04749784414160357,0.04636436642914717,0.06623169970924667,0.057826187085528,0.04058167995550881,0.027257263010924116,-0.015096469381435985,0.04194428116509909,0.12977540537555837,0.06491685600048824,0.07331178885716345,0.07499856146748447,0.012934669681310488
5151.KL,0.06453545444646006,0.02943255594830478,0.007111970556815159,0.023702275432608038,1.0,-0.050653980321133045,0.10078514648364709,0.02589959490908044,0.12200262233555757,0.0539331793254033,0.030908853595786448,0.06242441714027752,0.07551203250564835,0.015253896030684458,0.02846986627641178,0.07990663271930619,0.029358711597975807,0.03619651374196378,0.041435473900883445,0.06356980779044274,-0.013511093535293514,0.08552490479007366,0.1397644702747633,0.0919431929562502,0.08123350312856482,0.03598770996774572,0.014344175373846205,0.11869691410413555,0.0445687009098266,0.09829123460735593
7230.KL,-0.004023278367241689,0.0012039446375085433,0.023944598165293686,0.09050316674857255,-0.050653980321133045,1.0,0.037705293362452305,0.01677938839484496,0.06273838622239856,0.0058095597668686595,0.01863588758185375,0.07760576517274423,-3.9068978770068025e-05,-0.012864110934387548,0.02576469957096974,0.0520961521873188,0.07752465738985924,0.07216617739485666,0.06759084226863174,0.05299075534853657,0.14701982845607373,-0.021736402107128718,-0.030298785186461206,0.024580496886745132,-0.0017479236765557814,0.13076949926325349,0.04703832530818203,0.09807221924994969,0.010094193103517153,0.05680735745602365
1015.KL,0.1327199764323938,0.1940531462669304,0.06675724316093017,0.08418252513296198,0.10078514648364709,0.037705293362452305,1.0,0.06155193760005051,0.3141266197151417,0.07496728396049838,0.16124934672972044,0.13322959171054266,0.15446799552866416,0.09717804961630341,0.09725257494740899,0.08483746622614986,0.020807324629682263,0.1429398664507541,0.1980944419747535,0.13632865304393774,0.11330468272035837,0.12539962691457288,0.18045309421602565,0.14498571113794675,0.16618790811954995,0.23095158371536514,0.07653680355925656,0.06607065709147242,0.05458129603475017,0.15353654973878755
8117.KL,0.0354411051073732,0.03911045250517291,0.020091949902432987,0.03275120845901171,0.02589959490908044,0.01677938839484496,0.06155193760005051,1.0,0.03253523434919524,0.039639348827722555,-0.011377544726494057,0.03038842944042181,-0.02097531293675835,0.06107798406206078,0.003393104881392937,0.06113273443509431,0.054369732411884045,0.053912238254153935,0.0936347474268081,0.04106273819503807,0.04451104622516367,0.011555853168894603,0.04861575986417148,0.09255761165408036,0.02925371544737363,0.07286838699190132,0.05188256229085655,0.02870294191950371,0.011203808273485376,0.050388579173084744
5053.KL,0.11798776032033084,0.15213441047971052,0.1018745696071561,0.10363691951152772,0.12200262233555757,0.06273838622239856,0.3141266197151417,0.03253523434919524,1.0,0.1479931026205919,0.16369283980082988,0.16854850668203303,0.18569899788660293,0.06221782885193912,0.1427800819232602,0.11349831563730864,0.13313694754397742,0.14599832936600873,0.2499093291453896,0.15767211359912497,0.138471131535874,0.19173638303252638,0.15318400843895955,0.20119374620282643,0.11772353476335265,0.2850919046533401,0.12946568600894404,0.07272627429143626,0.1018629231465155,0.2048748171220564
5041.KL,0.11183609579475791,0.15765287101073172,-0.0009386635783713656,0.038688656891301854,0.0539331793254033,0.0058095597668686595,0.07496728396049838,0.039639348827722555,0.1479931026205919,1.0,0.07361471397675223,0.06794952531727609,0.09993385185383832,0.08557574125367744,0.10743980474834056,0.07420372406165278,0.031828415923657975,0.032010942648379496,0.07407367624005175,0.016841931580555015,0.02921575699872866,-0.020746252620557834,-0.022478385251402618,0.05800769490633392,0.004845034007279772,0.10483663411305526,0.06186003328792814,0.05771152935963186,0.013696914605183522,0.13262735882497004
7161.KL,0.032857501495938336,0.13834988442449578,0.0576406376295627,0.05482418622215203,0.030908853595786448,0.01863588758185375,0.16124934672972044,-0.011377544726494057,0.16369283980082988,0.07361471397675223,1.0,0.14040301061759622,0.12044022546326279,-0.00832958509444952,0.06722552463646458,0.03983104796370645,0.03799097507552622,0.07446534244564966,0.20466311034129453,0.1109082978722991,0.13182376462356213,0.04872080135027865,0.06135089374090531,0.10809361384307922,0.12284558352545244,0.25463380051827544,0.061095355742072324,0.022808480671241183,0.030793308951448016,0.1373460392824555
6459.KL,0.04065166145831657,0.11634161820597178,0.11705656677959812,0.07446905228844215,0.06242441714027752,0.07760576517274423,0.13322959171054266,0.03038842944042181,0.16854850668203303,0.06794952531727609,0.14040301061759622,1.0,0.15557274699502333,0.09394626548886033,0.0906296366189779,0.09315266700259449,0.0811715988469445,0.08566230884078398,0.1510342371045604,0.10608332274333336,0.15912797297825412,0.11275642275403587,0.10901669569134637,0.14382447463999332,0.05951365837572037,0.175772577164923,0.1401338555189421,0.01854318203223375,0.05908237335051227,0.09280435595096644
7103.KL,0.06279697030179193,0.07455714030243812,0.06190249541618781,0.0018854616312354174,0.07551203250564835,-3.9068978770068025e-05,0.15446799552866416,-0.02097531293675835,0.18569899788660293,0.09993385185383832,0.12044022546326279,0.15557274699502333,1.0,0.07278351855966082,0.0761423418363041,0.06940980975867614,0.04277637300295591,0.106045477673234,0.13479188901315384,0.11280116808048336,0.12221778342437248,0.02217659778126905,0.09176908088724335,0.11588772741758357,0.07998649949867927,0.1443997684364246,0.10132797309266481,0.05804941617661665,0.054649593571511446,0.09093882576038494
7501.KL,0.03673791244704497,0.07743476242520472,0.0408446084824479,0.07462569004237539,0.015253896030684458,-0.012864110934387548,0.09717804961630341,0.06107798406206078,0.06221782885193912,0.08557574125367744,-0.00832958509444952,0.09394626548886033,0.07278351855966082,1.0,0.023589640728491918,0.04385615472994445,0.0344249972761165,0.045606584276355694,0.029516800067010174,0.016949521193643943,0.018251176777889386,0.05138033797839588,0.018933654074639712,0.05303103484219446,0.059400801358770905,0.060646982001517635,0.0158148590287295,0.07024080864278842,0.01577899133219679,0.08093965878919696
5056.KL,0.08108009418556379,0.09473472761749151,0.0221336078876405,0.02059646953447926,0.02846986627641178,0.02576469957096974,0.09725257494740899,0.003393104881392937,0.1427800819232602,0.10743980474834056,0.06722552463646458,0.0906296366189779,0.0761423418363041,0.023589640728491918,1.0,0.05678759760939011,0.07756536977412681,0.04354490626150921,0.04306962691402321,0.12313077434543264,0.0940352276892741,0.06472544327315413,0.07143130757310327,0.07391001870555255,0.046415287086353986,0.09482418883560732,0.010428240560620663,0.06130041631097187,0.03890138272806322,0.13841894158406545
5247.KL,-0.014259865153180002,0.11631304025579006,0.019000883871308542,0.008843195171051968,0.07990663271930619,0.0520961521873188,0.08483746622614986,0.06113273443509431,0.11349831563730864,0.07420372406165278,0.03983104796370645,0.09315266700259449,0.06940980975867614,0.04385615472994445,0.05678759760939011,1.0,0.059853223897168656,0.08832775280787512,0.12203064247344024,0.13352756372421343,0.06313086730629715,0.12394005604519476,0.09763380279101487,0.12294699615578998,0.11409385754780191,0.13664206854790464,0.08094464430853379,0.051079501947177156,0.11134752779957549,0.06909254280428384
4286.KL,0.06111234034478114,0.07307038555953482,0.05641465609254143,0.051494193823460384,0.029358711597975807,0.07752465738985924,0.020807324629682263,0.054369732411884045,0.13313694754397742,0.031828415923657975,0.03799097507552622,0.0811715988469445,0.04277637300295591,0.0344249972761165,0.07756536977412681,0.059853223897168656,1.0,0.03916942896103437,0.09619646433314624,0.06619204502816915,0.06150375167814123,0.08443446390055524,0.07168728739872612,0.10265243124569882,0.05806428023766369,0.10739025251998247,0.031053020591005176,0.07279956166360566,0.07496442871972929,0.047456255761269196
9407.KL,0.13208638704649958,0.12772221104148018,0.023875530766829425,0.04749784414160357,0.03619651374196378,0.07216617739485666,0.1429398664507541,0.053912238254153935,0.14599832936600873,0.032010942648379496,0.07446534244564966,0.08566230884078398,0.106045477673234,0.045606584276355694,0.04354490626150921,0.08832775280787512,0.03916942896103437,1.0,0.12282115338758166,0.024942318339129375,0.06481850940597182,0.09077931801817721,0.08388353238377151,0.11851946995313542,0.10353410197804813,0.13704117615410136,0.07050332928846899,0.0039704540465248595,0.11937976628768884,0.17300149457587724
5249.KL,0.11687333655925669,0.1306854388416969,0.08398578561376219,0.04636436642914717,0.041435473900883445,0.06759084226863174,0.1980944419747535,0.0936347474268081,0.2499093291453896,0.07407367624005175,0.20466311034129453,0.1510342371045604,0.13479188901315384,0.029516800067010174,0.04306962691402321,0.12203064247344024,0.09619646433314624,0.12282115338758166,1.0,0.12260160481516069,0.12103101555761342,0.10210914997176206,0.10833674833785335,0.14753485964361987,0.09649190886658528,0.3016273077163213,0.08774001757417259,0.08057394576201292,0.04078590681472636,0.1705654912625735
5878.KL,0.07828043503488105,0.12436894097664826,0.07146779312644415,0.06623169970924667,0.06356980779044274,0.05299075534853657,0.13632865304393774,0.04106273819503807,0.15767211359912497,0.016841931580555015,0.1109082978722991,0.10608332274333336,0.11280116808048336,0.016949521193643943,0.12313077434543264,0.13352756372421343,0.06619204502816915,0.024942318339129375,0.12260160481516069,1.0,0.09940019107188228,0.05010840855194491,0.1391411826446968,0.09689467139922119,0.08166191763555777,0.24788124441354117,0.06761485184467779,0.06442501489116263,0.08343546153477155,0.09559228316318108
7035.KL,0.09028447138676339,0.08300687833393834,0.09895217141581417,0.057826187085528,-0.013511093535293514,0.14701982845607373,0.11330468272035837,0.04451104622516367,0.138471131535874,0.02921575699872866,0.13182376462356213,0.15912797297825412,0.12221778342437248,0.018251176777889386,0.0940352276892741,0.06313086730629715,0.06150375167814123,0.06481850940597182,0.12103101555761342,0.09940019107188228,1.0,0.0807004306870346,0.051980958323786776,0.16996606746113208,0.11713935782932838,0.19790807930770693,0.09071276034095073,0.053393103457203224,0.0032071054507822106,0.08036967892390195
7187.KL,0.05250626741885512,0.10080779102151063,0.08406493165607143,0.04058167995550881,0.08552490479007366,-0.021736402107128718,0.12539962691457288,0.011555853168894603,0.19173638303252638,-0.020746252620557834,0.04872080135027865,0.11275642275403587,0.02217659778126905,0.05138033797839588,0.06472544327315413,0.12394005604519476,0.08443446390055524,0.09077931801817721,0.10210914997176206,0.05010840855194491,0.0807004306870346,1.0,0.20028724261473835,0.11955288971504621,0.18979927692684861,0.06552418437250797,0.06491921065969503,0.13260344406746735,0.21740875291420153,0.1161943836541595
7609.KL,0.09132780866840842,0.11909472461629568,0.10115306576842661,0.027257263010924116,0.1397644702747633,-0.030298785186461206,0.18045309421602565,0.04861575986417148,0.15318400843895955,-0.022478385251402618,0.06135089374090531,0.10901669569134637,0.09176908088724335,0.018933654074639712,0.07143130757310327,0.09763380279101487,0.07168728739872612,0.08388353238377151,0.10833674833785335,0.1391411826446968,0.051980958323786776,0.20028724261473835,1.0,0.0944256824934362,0.17445876614662717,0.11204008707834082,0.04137733484239429,0.10143543486386963,0.14846769450408762,0.12321560903762092
7252.KL,0.1359614927009827,0.06902091120475731,0.03840048300979595,-0.015096469381435985,0.0919431929562502,0.024580496886745132,0.14498571113794675,0.09255761165408036,0.20119374620282643,0.05800769490633392,0.10809361384307922,0.14382447463999332,0.11588772741758357,0.05303103484219446,0.07391001870555255,0.12294699615578998,0.10265243124569882,0.11851946995313542,0.14753485964361987,0.09689467139922119,0.16996606746113208,0.11955288971504621,0.0944256824934362,1.0,0.11522254539660437,0.17414601013461664,0.12552063552153542,0.07048302101038366,0.06265331167714,0.12822906193785263
7246.KL,0.06391532292640395,0.06422376380112607,0.06391576597449151,0.04194428116509909,0.08123350312856482,-0.0017479236765557814,0.16618790811954995,0.02925371544737363,0.11772353476335265,0.004845034007279772,0.12284558352545244,0.05951365837572037,0.07998649949867927,0.059400801358770905,0.046415287086353986,0.11409385754780191,0.05806428023766369,0.10353410197804813,0.09649190886658528,0.08166191763555777,0.11713935782932838,0.18979927692684861,0.17445876614662717,0.11522254539660437,1.0,0.12870999849486692,0.00834071245935252,0.1944893007107719,0.12780708924557097,0.02608599638276461
5211.KL,0.13246352803703945,0.14197533094910297,0.0733277425136702,0.12977540537555837,0.03598770996774572,0.13076949926325349,0.23095158371536514,0.07286838699190132,0.2850919046533401,0.10483663411305526,0.25463380051827544,0.175772577164923,0.1443997684364246,0.060646982001517635,0.09482418883560732,0.13664206854790464,0.10739025251998247,0.13704117615410136,0.3016273077163213,0.24788124441354117,0.19790807930770693,0.06552418437250797,0.11204008707834082,0.17414601013461664,0.12870999849486692,1.0,0.14388957177856393,0.05447406923750774,0.06363158258499924,0.15641705847755807
7004.KL,0.032621068053982336,0.043829728722768455,0.07152681113274434,0.06491685600048824,0.014344175373846205,0.04703832530818203,0.07653680355925656,0.05188256229085655,0.12946568600894404,0.06186003328792814,0.061095355742072324,0.1401338555189421,0.10132797309266481,0.0158148590287295,0.010428240560620663,0.08094464430853379,0.031053020591005176,0.07050332928846899,0.08774001757417259,0.06761485184467779,0.09071276034095073,0.06491921065969503,0.04137733484239429,0.12552063552153542,0.00834071245935252,0.14388957177856393,1.0,0.00950280311738659,0.017881764628487548,0.07636113357618897
5273.KL,0.027826111253195722,0.03833950788574532,0.06546443977981728,0.07331178885716345,0.11869691410413555,0.09807221924994969,0.06607065709147242,0.02870294191950371,0.07272627429143626,0.05771152935963186,0.022808480671241183,0.01854318203223375,0.05804941617661665,0.07024080864278842,0.06130041631097187,0.051079501947177156,0.07279956166360566,0.0039704540465248595,0.08057394576201292,0.06442501489116263,0.053393103457203224,0.13260344406746735,0.10143543486386963,0.07048302101038366,0.1944893007107719,0.05447406923750774,0.00950280311738659,1.0,0.03268900628906061,0.08599041826442505
