rank,Ticker,windows_total_candidate,windows_used,windows_skipped_flat_stock,windows_skipped_flat_market,beta_mean,alpha_mean,r2_mean,beta_std_across_windows,alpha_std_across_windows,r2_std_across_windows,abs_beta_mean,abs_alpha_mean,z_beta,z_alpha,z_r2,stability_score,Company,Sector,Industry
1,6432.KL,858,858,0,0,0.21757725619200538,0.0004456601698096179,0.06643305293281156,0.2704917835906713,0.0009789143570644813,0.1276843353169224,0.21757725619200538,0.0004456601698096179,-1.512155585633308,-0.19077030282823185,-0.7979933976450259,0.8352869174402889,APOLLO FOOD HOLDINGS BERHAD,Consumer Defensive,Confectioners
2,3301.KL,858,858,0,0,0.27512844096454,0.0003138196330624334,0.07445964288736107,0.18572123700798043,0.0008284011961196197,0.09155976301651385,0.27512844096454,0.0003138196330624334,-1.3464964611845953,-0.3241482970243097,-0.6562865519122562,0.7904919681799962,HONG LEONG INDUSTRIES BERHAD,Consumer Cyclical,Auto Manufacturers
3,5271.KL,858,858,0,0,0.22771663239164158,0.0005927497407501804,0.048351252141112806,0.3238770824406823,0.0011947447353664333,0.0578814657155219,0.22771663239164158,0.0005927497407501804,-1.4829697367176582,-0.041965447938767095,-1.1172217336967005,0.7326899439607816,PECCA GROUP BERHAD,Consumer Cyclical,Auto Parts
4,2089.KL,858,858,0,0,0.1852447890848664,0.0009038571360321667,0.03884037912378199,0.1818906207195141,0.001200217942988149,0.04065644595934797,0.1852447890848664,0.0009038571360321667,-1.6052234905496914,0.272769923943461,-1.28513311612467,0.702171645925249,UNITED PLANTATIONS BERHAD,Consumer Defensive,Farm Products
5,5151.KL,858,858,0,0,0.29346671777209676,0.0002914845318580786,0.03823896659607053,0.4277218215244867,0.0008842870582353841,0.04568543892284076,0.29346671777209676,0.0002914845318580786,-1.2937103562269823,-0.34674385884696635,-1.2957508594962321,0.6685495495234962,HEXTAR GLOBAL BERHAD,Basic Materials,Agricultural Inputs
6,7230.KL,858,858,0,0,0.34356906347747607,0.00029268897167416874,0.057123859975480945,0.49240479062256176,0.0014316101530539088,0.06210677924019799,0.34356906347747607,0.00029268897167416874,-1.1494924612316932,-0.3455253734648259,-0.962344183940434,0.6317251925141573,TOMEI CONSOLIDATED BERHAD,Consumer Cyclical,Luxury Goods
7,1015.KL,858,858,0,0,0.5566752875146693,-1.2473843155723651e-05,0.14982978980213152,0.3011130688722452,0.0013461448504809197,0.11342948187884787,0.5566752875146693,1.2473843155723651e-05,-0.5360734564257232,-0.6290082286420255,0.6743489785166812,0.5800484777934425,AMMB HOLDINGS BERHAD,Financial Services,Banks - Regional
8,8117.KL,858,858,0,0,0.28467790228919965,0.0006251421489935467,0.02147236102165723,0.23285495821506708,0.0018750383465478786,0.030046179691905133,0.28467790228919965,0.0006251421489935467,-1.3190086621366262,-0.009195295865088122,-1.591759849995228,0.5549400437489636,PGF CAPITAL BERHAD,Basic Materials,Building Materials
9,5053.KL,858,858,0,0,0.6066886536670667,0.000404914398680269,0.17962008673883115,0.3025167872661409,0.0008104576271371755,0.1542719246618738,0.6066886536670667,0.000404914398680269,-0.39211168604192725,-0.23199123046770512,1.200287021477196,0.473307872463662,OSK HOLDINGS BERHAD,Real Estate,Real Estate - Development
10,5041.KL,858,858,0,0,0.4091270499684701,0.0006765362702967055,0.06685298362260127,0.3483479137691083,0.0025503090420953764,0.10294496609264754,0.4091270499684701,0.0006765362702967055,-0.9607860308490209,0.04279815760537206,-0.7905796573376919,0.4471851305074157,PBA HOLDINGS BHD,Utilities,Utilities - Regulated Water
11,7161.KL,858,858,0,0,0.4939766414191455,0.0004479953902035266,0.09417269061606652,0.294814325312885,0.001042364009585502,0.10492452201044537,0.4939766414191455,0.0004479953902035266,-0.7165493729052225,-0.18840785027888746,-0.3082590795694045,0.4307927243774447,KERJAYA PROSPEK GROUP BERHAD,Industrials,Engineering & Construction
12,6459.KL,858,858,0,0,0.5880284310088526,0.0001644207372907083,0.12803413800137506,0.33869374207816166,0.0018859889947287342,0.1417352016425267,0.5880284310088526,0.0001644207372907083,-0.44582450116112227,-0.4752894069194583,0.28955380586377505,0.4297501233061042,MNRB HOLDINGS BERHAD,Financial Services,Insurance - Reinsurance
13,7103.KL,858,858,0,0,0.3881687908985868,0.001013755314359057,0.07681777564739906,0.2577653195906942,0.0011544774953481524,0.09311818054360942,0.3881687908985868,0.001013755314359057,-1.021113665479109,0.38394967906802846,-0.6146544818630457,0.42448260724100145,SPRITZER BHD,Consumer Defensive,Beverages - Non-Alcoholic
14,7501.KL,858,858,0,0,0.45937868139023486,8.844625241469669e-05,0.03280312265955948,0.25110111889279335,0.0033989322460370804,0.031055972609146453,0.45937868139023486,8.844625241469669e-05,-0.8161384220056704,-0.5521498676916576,-1.3917189234561924,0.41896268160788774,HARN LEN CORPORATION BHD,Consumer Defensive,Farm Products
15,5056.KL,858,858,0,0,0.4982885109614959,9.216352271435443e-05,0.04711293523326027,0.3022197137669972,0.0016209033796582744,0.04995843201784753,0.4982885109614959,9.216352271435443e-05,-0.7041378033442127,-0.5483892484717605,-1.1390838175982059,0.3887174214847368,ENGTEX GROUP BERHAD,Industrials,Industrial Distribution
16,5247.KL,858,858,0,0,0.5430210536897568,0.00019184522129668047,0.07935719717195366,0.3515768486755072,0.002072645848159689,0.09978588622256801,0.5430210536897568,0.00019184522129668047,-0.5753767032553607,-0.4475451124951025,-0.5698218173980362,0.3716390274672866,KAREX BERHAD,Consumer Defensive,Household & Personal Products
17,4286.KL,858,858,0,0,0.42841778041258655,0.0008900581163669216,0.05800891952668755,0.5192910085042891,0.0023812425030516025,0.07876338653585449,0.42841778041258655,0.0008900581163669216,-0.9052583205511514,0.25880998711195435,-0.9467187442459519,0.3364446839158095,SEAL INCORPORATED BERHAD,Real Estate,Real Estate - Development
18,9407.KL,858,858,0,0,0.5383162951541434,0.0002506742845196416,0.06612108924006242,0.526847429505989,0.0019167773397718011,0.08413792866831209,0.5383162951541434,0.0002506742845196416,-0.5889191903967251,-0.3880300145843655,-0.8035010155914951,0.32983386554540217,PARAGON UNION BERHAD,Consumer Cyclical,Auto Parts
19,5249.KL,858,858,0,0,0.6586457638082618,0.0003031827762386694,0.14829782318135618,0.3726899624982255,0.0016598201250835715,0.13872552475073355,0.6586457638082618,0.0003031827762386694,-0.24255491481480645,-0.3349091954756337,0.6473026040504091,0.32635563836535364,IOI PROPERTIES GROUP BERHAD,Real Estate,Real Estate - Development
20,5878.KL,858,858,0,0,0.4951852667091727,0.0007302563108634136,0.0783960897719709,0.2696296867115074,0.0014396199999065586,0.06087588735201238,0.4951852667091727,0.0007302563108634136,-0.7130703861888964,0.09714465402975393,-0.5867898572297936,0.3155375896214303,KPJ HEALTHCARE BERHAD,Healthcare,Medical Care Facilities
21,7035.KL,858,858,0,0,0.6107133207537343,0.00019874558894684123,0.07584323136905136,0.32202053181526574,0.0017767652718511165,0.05967923440871992,0.6107133207537343,0.00019874558894684123,-0.3805268189638634,-0.4405642762583781,-0.63185974542996,0.24367819862841855,CCK CONSOLIDATED HOLDINGS BERHAD,Consumer Defensive,Grocery Stores
22,7187.KL,858,858,0,0,0.5522085155902233,0.0005472123333580747,0.06866226954547418,0.33273163431839936,0.002784805164341952,0.058650017036335,0.5522085155902233,0.0005472123333580747,-0.5489309072156668,-0.08803388947200758,-0.7586373004201442,0.2375714216343804,CHIN HIN GROUP PROPERTY BERHAD,Consumer Cyclical,Auto Manufacturers
23,7609.KL,858,858,0,0,0.6564930517816034,-1.8708256763273313e-05,0.08355895265175911,0.5549762442661541,0.0014135930266817303,0.07768308568104139,0.6564930517816034,1.8708256763273313e-05,-0.24875142303502687,-0.6227011124660786,-0.495641185404231,0.2305799541269011,AJIYA BERHAD,Industrials,Building Products & Equipment
